cal_id,user,start_date,start_time,end_date,end_time,repeat_type,repeat_interval,repeat_count,repeat_start_date,repeat_end_on,repeat_end_after,repeat_never,repeat_by,repeat_on_sun,repeat_on_mon,repeat_on_tue,repeat_on_wed,repeat_on_thu,repeat_on_fri,repeat_on_sat,title,description,allDay,thumbnail,actors,tags,language
,,03/02/24, 22:15:00,03/02/24, 23:15:00,none,1,0,03/02/24,03/02/24,0,0,0,0,0,0,0,0,0,0,The Seventh Day Part 1,The Seventh Day featuring LLT Productions,on,,,,english
,,03/02/24, 23:15:00,03/02/24, 00:00:00,none,1,0,03/02/24,03/02/24,0,0,0,0,0,0,0,0,0,0,Except Your Righteousness Exceed,Presentation featuring Walter Veith ,on,,,,english
,,04/02/24, 00:00:00,04/02/24, 01:00:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,In Search of Noah’s Ark,Digging Up the Past featuring Francois Du Plessis,on,,,,english
,,04/02/24, 01:00:00,04/02/24, 02:30:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,Without Me You Can Do Nothing,Clash of Minds featuring Walter Veith,on,,,,english
,,04/02/24, 02:30:00,04/02/24, 03:30:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,My Dream His Dream (Testimony),Presentation featuring Daniel Pel,on,,,,english
,,04/02/24, 03:30:00,04/02/24, 04:45:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,Kingdom of Heaven ,Camp Meeting 2023 featuring Matthew Schanche,on,,,,english
,,04/02/24, 04:45:00,04/02/24, 06:15:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,3 - Physiology of Victory,Proven Principles for Good Health-singles featuring Diane Burnett,on,,,,english
,,04/02/24, 06:15:00,04/02/24, 07:15:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,The Seventh Day Part 1,The Seventh Day featuring LLT Productions,on,,,,english
,,04/02/24, 07:15:00,04/02/24, 08:00:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,Except Your Righteousness Exceed,Presentation featuring Walter Veith ,on,,,,english
,,04/02/24, 08:00:00,04/02/24, 09:00:00,none,1,0,04/02/24,04/02/24,0,0,0,0,0,0,0,0,0,0,Noah's Posterity,Digging Up the Past featuring Francois Du Plessis,on,,,,english
